"","created","user_id","method","currency","amount"
"991","2020-12-11 05:52:44.299+00",3309,"bt","mxn",1
"992","2020-12-11 05:24:43.11+00",3309,"bt","mxn",1
"993","2020-12-11 05:10:08.256+00",3309,"bt","mxn",200
"994","2020-12-11 05:10:07.759+00",3309,"bt","mxn",200
"995","2020-12-11 05:10:07.06+00",3309,"bt","mxn",200
"996","2020-12-11 05:10:06.266+00",3309,"bt","mxn",200
"997","2020-12-11 05:10:05.486+00",3309,"spei","mxn",50
"998","2020-12-11 05:09:43.948+00",3309,"bt","mxn",1
"999","2020-12-11 05:09:43.315+00",3309,"bt","mxn",1
"1000","2020-12-11 04:35:59.021+00",3309,"bt","mxn",200
"1001","2020-12-11 04:35:58.532+00",3309,"bt","mxn",200
"1002","2020-12-11 04:35:57.809+00",3309,"bt","mxn",200
"1003","2020-12-11 04:35:57.223+00",3309,"bt","mxn",200
"1004","2020-12-11 04:35:56.419+00",3309,"spei","mxn",50
"1005","2020-12-11 04:35:42.949+00",3309,"bt","mxn",1
"1006","2020-12-11 04:35:35.569+00",3309,"bt","mxn",1
"1007","2020-12-11 04:35:34.914+00",3309,"bt","mxn",1
"1008","2020-12-11 04:16:35.036+00",3309,"bt","mxn",200
"1009","2020-12-11 04:16:34.602+00",3309,"bt","mxn",200
"1010","2020-12-11 04:16:33.931+00",3309,"bt","mxn",200
"1011","2020-12-11 04:16:33.26+00",3309,"bt","mxn",200
"1012","2020-12-11 04:16:32.558+00",3309,"spei","mxn",50
"1013","2020-12-11 04:16:10.781+00",3309,"bt","mxn",1
"1014","2020-12-11 04:16:10.189+00",3309,"bt","mxn",1
"1015","2020-12-11 04:16:09.377+00",3309,"bt","mxn",1
"1016","2020-12-10 21:17:19.751+00",3309,"bt","mxn",200
"1017","2020-12-10 21:17:19.322+00",3309,"bt","mxn",200
"1018","2020-12-10 21:17:18.643+00",3309,"bt","mxn",200
"1019","2020-12-10 21:17:17.903+00",3309,"bt","mxn",200
"1020","2020-12-10 21:17:17.186+00",3309,"spei","mxn",50
"1021","2020-12-10 21:17:02.085+00",3309,"bt","mxn",1
"1022","2020-12-10 21:17:01.424+00",3309,"bt","mxn",1
"1023","2020-12-10 21:17:00.578+00",3309,"bt","mxn",1
"1024","2020-12-10 19:50:35.596+00",3309,"bt","mxn",200
"1025","2020-12-10 19:50:34.93+00",3309,"bt","mxn",200
"1026","2020-12-10 19:50:34.186+00",3309,"bt","mxn",200
"1027","2020-12-10 19:50:33.538+00",3309,"bt","mxn",200
"1028","2020-12-10 19:50:32.817+00",3309,"spei","mxn",50
"1029","2020-12-10 19:50:18.462+00",3309,"bt","mxn",1
"1030","2020-12-10 19:50:17.693+00",3309,"bt","mxn",1
"1031","2020-12-10 19:50:17.075+00",3309,"bt","mxn",1
"1032","2020-12-10 19:10:01.641+00",3309,"bt","mxn",200
"1033","2020-12-10 19:10:01.156+00",3309,"bt","mxn",200
"1034","2020-12-10 19:10:00.492+00",3309,"bt","mxn",200
"1035","2020-12-10 19:09:59.638+00",3309,"bt","mxn",200
"1036","2020-12-10 19:09:58.914+00",3309,"spei","mxn",50
"1037","2020-12-10 19:09:44.17+00",3309,"bt","mxn",1
"1038","2020-12-10 19:09:43.664+00",3309,"bt","mxn",1
"1039","2020-12-10 19:09:42.839+00",3309,"bt","mxn",1
"1040","2020-12-10 18:26:50.593+00",3309,"bt","mxn",200
"1041","2020-12-10 18:26:50.13+00",3309,"bt","mxn",200
"1042","2020-12-10 18:26:49.425+00",3309,"bt","mxn",200
"1043","2020-12-10 18:26:48.768+00",3309,"bt","mxn",200
"1044","2020-12-10 18:26:48.011+00",3309,"spei","mxn",50
"1045","2020-12-10 18:26:33.834+00",3309,"bt","mxn",1
"1046","2020-12-10 18:26:33.30+00",3309,"bt","mxn",1
"1047","2020-12-10 18:26:32.479+00",3309,"bt","mxn",1
"1048","2020-12-10 16:15:31.125+00",3309,"bt","mxn",200
"1049","2020-12-10 16:15:30.67+00",3309,"bt","mxn",200
"1050","2020-12-10 16:15:29.879+00",3309,"bt","mxn",200
"1051","2020-12-10 16:15:29.206+00",3309,"bt","mxn",200
"1052","2020-12-10 16:15:28.439+00",3309,"spei","mxn",50
"1053","2020-12-10 16:15:13.51+00",3309,"bt","mxn",1
"1054","2020-12-10 16:15:12.876+00",3309,"bt","mxn",1
"1055","2020-12-10 16:15:12.004+00",3309,"bt","mxn",1
"1056","2020-12-10 15:08:57.806+00",3309,"bt","mxn",200
"1057","2020-12-10 15:08:57.32+00",3309,"bt","mxn",200
"1058","2020-12-10 15:08:56.672+00",3309,"bt","mxn",200
"1059","2020-12-10 15:08:55.949+00",3309,"bt","mxn",200
"1060","2020-12-10 15:08:55.263+00",3309,"spei","mxn",50
