date,major_currency,mxn,usd,ars,brl
2020-12-08,brl,3.864500000000000000,0.1952,28.2592,1.0000
2020-12-08,btc,371627.402000000000000000,18777.5988,2717529.9714,96164.4202
2020-12-08,xrp,11.541900000000000000,0.5831,84.4002,2.9866
2020-12-08,gnt,3.499900000000000000,0.1768,25.5930,0.9057
2020-12-08,bch,5593.093300000000000000,282.6079,40899.5639,1447.3006
2020-12-08,dai,19.841000000000000000,1.0025,145.0875,5.1342
2020-12-08,usd,19.791000000000000000,1.0000,144.7219,5.1212
2020-12-08,mxn,1.000000000000000000,0.0505,7.3125,0.2588
2020-12-09,btc,359457.043300000000000000,18081.2401,2610633.1306,93503.9001
2020-12-09,eth,11052.129100000000000000,555.9390,80268.4352,2874.9393
2020-12-09,dai,19.996300000000000000,1.0058,145.2273,5.2015
2020-12-09,xrp,10.906900000000000000,0.5486,79.2136,2.8372
2020-12-09,ars,0.137700000000000000,0.0069,1.0000,0.0358
2020-12-09,bch,5593.123500000000000000,281.3426,40621.2474,1454.9134
2020-12-09,tusd,19.868000000000000000,0.9993,144.2955,5.1682
2020-12-09,ltc,1516.101700000000000000,76.2622,11011.0106,394.3765
2020-12-09,gnt,3.499900000000000000,0.1760,25.4187,0.9104
2020-12-09,usd,19.880100000000000000,1.0000,144.3835,5.1713
2020-12-09,mxn,1.000000000000000000,0.0503,7.2627,0.2601
2020-12-09,brl,3.844300000000000000,0.1933,27.9200,1.0000
2020-12-10,ltc,1516.177400000000000000,75.7872,10906.5489,380.8917
2020-12-10,xrp,11.364700000000000000,0.5680,81.7514,2.8550
2020-12-10,eth,11179.290200000000000000,558.8053,80417.6847,2808.4435
2020-12-10,btc,363729.393700000000000000,18181.2898,2616469.8461,91375.5197
2020-12-10,dai,20.062000000000000000,1.0028,144.3150,5.0399
2020-12-10,gnt,3.499900000000000000,0.1749,25.1763,0.8792
2020-12-10,tusd,19.950100000000000000,0.9972,143.5100,5.0118
2020-12-10,ars,0.139000000000000000,0.0069,1.0000,0.0349
2020-12-10,brl,3.980600000000000000,0.1989,28.6342,1.0000
2020-12-10,bch,5580.206600000000000000,278.9308,40140.9469,1401.8506
2020-12-10,usd,20.005700000000000000,1.0000,143.9100,5.0258
2020-12-10,mxn,1.000000000000000000,0.0499,7.1934,0.2512
2020-12-11,eth,10978.657100000000000000,545.2781,76988.5314,2762.5518
2020-12-11,ltc,1516.149800000000000000,75.3027,10632.0969,381.5077
2020-12-11,tusd,20.123400000000000000,0.9994,141.1166,5.0636
2020-12-11,xrp,11.231100000000000000,0.5578,78.7588,2.8261
2020-12-11,bch,5579.691200000000000000,277.1271,39127.9395,1404.0138
2020-12-11,ars,0.142600000000000000,0.0070,1.0000,0.0359
2020-12-11,mxn,1.000000000000000000,0.0496,7.0125,0.2516
2020-12-11,brl,3.974100000000000000,0.1973,27.8686,1.0000
2020-12-11,dai,20.205400000000000000,1.0035,141.6916,5.0843
2020-12-11,btc,359846.094700000000000000,17872.5142,2523443.6355,90547.8208
2020-12-11,gnt,3.499900000000000000,0.1738,24.5432,0.8807
2020-12-11,usd,20.134100000000000000,1.0000,141.1913,5.0663
2020-12-12,xrp,10.308100000000000000,0.5119,72.5850,2.5938
2020-12-12,ltc,1516.161000000000000000,75.3033,10676.1298,381.5105
2020-12-12,ars,0.142000000000000000,0.0070,1.0000,0.0357
2020-12-12,mxn,1.000000000000000000,0.0496,7.0415,0.2516
2020-12-12,eth,11253.753900000000000000,558.9413,79243.9182,2831.7742
2020-12-12,btc,373418.406800000000000000,18546.6116,2629445.9586,93963.0122
2020-12-12,dai,20.257300000000000000,1.0061,142.6428,5.0973
2020-12-12,gnt,3.499900000000000000,0.1738,24.6447,0.8807
2020-12-12,bch,5580.783700000000000000,277.1813,39297.3910,1404.2887
2020-12-12,tusd,20.201100000000000000,1.0033,142.2471,5.0832
2020-12-12,usd,20.134100000000000000,1.0000,141.7750,5.0663
2020-12-12,brl,3.974100000000000000,0.1973,27.9838,1.0000
2020-12-13,btc,387817.363000000000000000,19313.3261,2698372.3858,97847.1964
2020-12-13,dai,20.180300000000000000,1.0049,140.4113,5.0915
2020-12-13,gnt,3.499900000000000000,0.1742,24.3517,0.8830
2020-12-13,ltc,1516.262700000000000000,75.5099,10549.9180,382.5565
