"","created","user_id","method","currency","amount"
"93","2020-12-02 23:13:15.332+00",7198,"adm","eth",4
"94","2020-12-02 23:13:15.302+00",7198,"adm","etc",4
"95","2020-12-02 23:13:15.261+00",7198,"adm","dai",4
"96","2020-12-02 23:13:15.233+00",7198,"adm","btc",4
"97","2020-12-02 23:13:15.208+00",7198,"adm","bsv",4
"98","2020-12-02 23:13:15.173+00",7198,"adm","bch",4
"99","2020-12-02 23:13:15.131+00",7198,"adm","bat",4
"100","2020-12-02 23:20:45.317+00",7243,"adm","usd",50000
"101","2020-12-02 23:20:45.281+00",7243,"spei","mxn",3e+06
"102","2020-12-02 23:20:45.249+00",7243,"adm","brl",2000
"103","2020-12-02 23:20:45.216+00",7243,"adm","ars",1e+05
"104","2020-12-02 23:20:45.15+00",7243,"adm","xrp",4
"105","2020-12-02 23:20:44.996+00",7243,"adm","tusd",4
"106","2020-12-02 23:20:44.965+00",7243,"adm","rbtc",4
"107","2020-12-02 23:20:44.938+00",7243,"adm","mana",4
"108","2020-12-02 23:20:44.908+00",7243,"adm","ltc",4
"109","2020-12-02 23:20:44.881+00",7243,"adm","gnt",4
"110","2020-12-02 23:20:44.85+00",7243,"adm","eth",4
"111","2020-12-02 23:20:44.823+00",7243,"adm","etc",4
"112","2020-12-02 23:20:44.793+00",7243,"adm","dai",4
"113","2020-12-02 23:20:44.765+00",7243,"adm","btc",4
"114","2020-12-02 23:20:44.731+00",7243,"adm","bsv",4
"115","2020-12-02 23:20:44.698+00",7243,"adm","bch",4
"116","2020-12-02 23:20:44.638+00",7243,"adm","bat",4
"117","2020-12-08 17:02:46.197+00",7760,"pts","mxn",1e+05
"118","2020-12-08 17:02:45.956+00",7760,"pts","btc",5
"119","2020-12-08 15:45:04.88+00",7760,"pts","usd",10000
"120","2020-12-08 15:45:04.736+00",7760,"pts","mxn",1e+05
"121","2020-12-08 15:45:04.673+00",7760,"pts","eth",100
"122","2020-12-08 15:45:04.542+00",7760,"pts","btc",12
"123","2020-12-12 00:09:43.847+00",7849,"spei","mxn",1000
"124","2020-12-12 00:03:25.482+00",7849,"adm","ars",1e+05
"125","2020-12-30 19:57:00.751+00",8079,"adm","btc",40
"126","2020-12-30 23:52:36.946+00",3310,"bt","mxn",200
"127","2020-12-30 23:52:36.282+00",3310,"bt","mxn",200
"128","2020-12-30 23:52:35.377+00",3310,"bt","mxn",200
"129","2020-12-30 23:52:34.478+00",3310,"bt","mxn",200
"130","2020-12-30 23:52:20.364+00",3310,"bt","mxn",1
"131","2020-12-30 23:52:19.693+00",3310,"bt","mxn",1
"132","2020-12-30 23:52:18.567+00",3310,"bt","mxn",1
"133","2020-12-30 17:24:19.824+00",3310,"bt","mxn",200
"134","2020-12-30 17:24:19.10+00",3310,"bt","mxn",200
